timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-14 07:16:37,b'Fatimah Azzahra Trending di Twitter.. Viral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,['SuaraParlemen'],4
2020-02-14 07:15:55,b'Valentine Day trending di twiiter... viral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,['SuaraParlemen'],4
2020-02-14 07:14:50,b'ada apa dgn Maia jadi Trending di twitter... yuuk simak Berita menarik dari #SuaraParlemen \xf0\x9f\x91\x87\nAnggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,"['SuaraParlemen', 'SuaraParlemen']",4
2020-02-14 07:13:22,b'#JumatBerkah\nAnggaran Pemindahan Ibukota Negara harus terukur.. \nhttps://t.co/09N7Skrdyw',Kang_Syafi1,['JumatBerkah'],4
2020-02-14 07:09:57,b'Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/xAg6sVNC36',KangFathanNow,['SuaraParlemen'],5537
2020-02-14 02:37:32,b'Cara berpikir reaktif dan pragmatis..  seharusnya utk mengurangi urbanisasi itu dengan melakukan pemerataan pembangunan.. kita bangun desa2 menjadi kota2 kecil yg nyaman ditinggali...  pemindahan ibukota adalah salah satu langkah besar utk itu.. paham Nies!! Asal njeplak aja sih! https://t.co/9EM34C0Of3',NgembarS,[],506
2020-02-13 14:53:35,b'@pecintamilooo Membahas masalah rencana pemindahan ibukota',AndiAstaweni,[],671
2020-02-13 10:19:56,"b'@UyokBack Saya kira pemindahan ibukota akan batal, dan Jakarta makin cantik, makanya gk jadi pindah.. \nIngat beliau bicara fakta, tetapi selalu kebalikannya... Gak impor, ternyata impor.. Pakai lokal, ternyata pakai luar, gak utang, ternyata utang.. Studi banding.. Hmm.. Gitu lah... \xf0\x9f\x99\x8f\xf0\x9f\x98\x94'",Wiwied_Karimun,[],56
2020-02-13 08:44:35,b'7 Arahan Presiden Jokowi pada Rapat Terbatas mengenai lanjutan persiapan pemindahan ibukota\n\n#BhinekaTunggalIka #NKRIHargaMati #KitaSatuIndonesia #PapuaIsIndonesia #Jokowi #IndonesiaMaju https://t.co/sbwbSOU4k0',adriankusuma285,"['BhinekaTunggalIka', 'NKRIHargaMati', 'KitaSatuIndonesia', 'PapuaIsIndonesia', 'Jokowi', 'IndonesiaMaju']",986
2020-02-13 06:11:41,"b'@kandargalang @basuki_btp tapi kalo Ahok sekarang ditanya lagi tentang Pemindahan Ibukota, belum tentu sama.. bisa2 dia mendukung.'",rizalventura,[],165
2020-02-13 03:46:57,b'7 Arahan Presiden Jokowi pada Rapat Terbatas mengenai lanjutan persiapan pemindahan ibukota\n\n#BhinekaTunggalIka #NKRIHargaMati #KitaSatuIndonesia #PapuaIsIndonesia #Jokowi #IndonesiaMaju #KawalKebijakanJokowi #SayaBersamaJokowi #KamiBersamaJokowi #RakyatBersatuNKRIMaju https://t.co/QErrPwOc6l',santuyajaa,"['BhinekaTunggalIka', 'NKRIHargaMati', 'KitaSatuIndonesia', 'PapuaIsIndonesia', 'Jokowi', 'IndonesiaMaju', 'KawalKebijakanJokowi', 'SayaBersamaJokowi', 'KamiBersamaJokowi', 'RakyatBersatuNKRIMaju']",412
2020-02-13 02:17:06,b'@marlina_idha @aniesbaswedan Tanggapan Ahok ketika ditanya soal pemindahan ibukota https://t.co/ICGfB66QxL',syarwani_mhd,[],1861
2020-02-13 01:33:51,b'RUU Omnibus Law mendukung percepatan pemindahan ibukota https://t.co/FsDpsvz4a2',PutraSiregar218,[],82
2020-02-12 13:29:40,"b'@BahriAsri @CH_chotimah @felixsiauw ko enak temen mas,timbang nyangoni kangho ape nilik i ISIS mending tak ngo mbangun pemindahan ibukota indonesia.'",yusupalimohamad,[],31
2020-02-12 13:15:04,"b'Ditanya camer ttg Pemindahan Ibukota, Perkembangan Ekonomi Pertanian, dan Kurikulum Pendidikan di Indonesia (beserta permasalahan2nya) \xf0\x9f\x98\x82 ane mesti jawab jujur nih??'",FujiokaChi,[],115
2020-02-12 10:18:47,"b'Ahok mampu mengurai masalah sedang Anies hanya menambah masalah, untuk saat ini pemindahan ibukota adalah realistis. Jakarta tidak mampu lagi menampung beban 10 tahun kedepan. https://t.co/BIzQbF5nSf'",JinNyinyir,[],37
2020-02-12 06:32:31,b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/xHHjk0k6yJ',ProJustisiaNews,[],34
2020-02-12 02:23:04,"b'@Shda_Agatha @Vivittts Lo sibuk banget ngurusin event di DKI,Lo punya KTP DKI ga ?? Kerugian negara triliunan rupiah dan pemindahan ibukota,kog ga sekalian Lo resehin ?? Punya otak ga buat mikir,hotel"" rumah makan dan pedagang akan di banjiri rejeki oleh kunjungan tamu dan peserta formula E'",KaoruKamiyya,[],391
